Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
44.06120	57.70921	140.17023	25.25090	-68.87350	0.02759	1.26448
44.56189	57.71004	140.16978	25.20911	-68.90644	0.02230	1.26222
45.06259	57.71098	140.16932	25.18276	-69.00510	0.02888	1.25602
45.56328	57.71179	140.16837	25.14315	-69.03714	0.02367	1.25405
46.06398	57.71249	140.16676	25.12498	-69.13593	0.03004	1.24779
46.56467	57.71312	140.16554	25.08753	-69.16973	0.02487	1.24523
47.06537	57.71345	140.16311	25.07555	-69.27573	0.03097	1.23619
47.56606	57.71404	140.16155	25.03908	-69.31265	0.02584	1.23213
48.06676	57.71427	140.15771	25.02959	-69.42814	0.03168	1.21785
48.56745	57.71479	140.15562	24.99254	-69.46815	0.02662	1.21175
49.06815	57.71481	140.15035	24.98124	-69.59164	0.03229	1.19166
49.56885	57.71518	140.14796	24.94330	-69.63357	0.02730	1.18381
50.06954	57.71465	140.14199	24.93231	-69.76109	0.03279	1.15893
50.57024	57.71476	140.13938	24.89513	-69.80392	0.02788	1.14968
51.07093	57.71342	140.13276	24.88817	-69.93402	0.03321	1.12114
51.57163	57.71321	140.12998	24.85203	-69.97762	0.02840	1.11099
52.07232	57.71096	140.12281	24.84870	-70.10894	0.03358	1.08075
52.57302	57.71041	140.11980	24.81306	-70.15207	0.02887	1.07064
53.07371	57.70712	140.11177	24.81119	-70.27980	0.03393	1.04164
53.57441	57.70624	140.10846	24.77500	-70.32086	0.02934	1.03247
54.07510	57.70224	140.09959	24.77135	-70.44143	0.03439	1.00698
54.57580	57.70124	140.09609	24.73399	-70.47965	0.02997	0.99934
55.07650	57.69717	140.08666	24.72842	-70.59169	0.03513	0.97866
55.57719	57.69621	140.08308	24.69048	-70.62704	0.03091	0.97265
56.07789	57.69246	140.07390	24.68440	-70.73075	0.03624	0.95637
56.57858	57.69170	140.07073	24.64623	-70.76342	0.03221	0.95155
57.07928	57.68871	140.06310	24.64107	-70.85898	0.03766	0.93823
57.57997	57.68820	140.06045	24.60307	-70.88888	0.03383	0.93409
58.08067	57.68582	140.05390	24.59859	-70.97681	0.03942	0.92209
58.58136	57.68544	140.05151	24.56008	-71.00476	0.03577	0.91804
59.08206	57.68350	140.04586	24.55442	-71.08840	0.04136	0.90566
59.58275	57.68329	140.04389	24.51514	-71.11582	0.03782	0.90116
