Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
166.23088	58.80602	143.41217	28.97860	24.95944	0.53052	-0.83072
166.73157	58.80415	143.41383	28.96918	25.04611	0.53215	-0.82787
167.23227	58.80230	143.41553	28.95916	25.13283	0.53378	-0.82507
167.73296	58.80045	143.41726	28.94856	25.21955	0.53541	-0.82235
168.23366	58.79861	143.41903	28.93741	25.30625	0.53704	-0.81970
168.73435	58.79678	143.42082	28.92575	25.39288	0.53866	-0.81714
169.23505	58.79495	143.42264	28.91361	25.47942	0.54029	-0.81467
169.73574	58.79314	143.42447	28.90102	25.56583	0.54191	-0.81231
170.23644	58.79132	143.42631	28.88802	25.65210	0.54353	-0.81006
170.73713	58.78951	143.42816	28.87464	25.73821	0.54515	-0.80794
171.23783	58.78771	143.43001	28.86092	25.82413	0.54676	-0.80596
171.73853	58.78591	143.43186	28.84687	25.90986	0.54836	-0.80411
172.23922	58.78410	143.43370	28.83254	25.99536	0.54996	-0.80242
172.73992	58.78230	143.43553	28.81796	26.08064	0.55155	-0.80089
173.24061	58.78050	143.43734	28.80315	26.16567	0.55314	-0.79953
173.74131	58.77869	143.43914	28.78813	26.25043	0.55471	-0.79835
174.24200	58.77688	143.44092	28.77295	26.33493	0.55628	-0.79735
174.74270	58.77507	143.44268	28.75761	26.41912	0.55783	-0.79654
175.24339	58.77325	143.44441	28.74216	26.50300	0.55937	-0.79593
175.74409	58.77143	143.44612	28.72660	26.58654	0.56090	-0.79552
176.24478	58.76960	143.44781	28.71097	26.66974	0.56241	-0.79532
176.74548	58.76776	143.44947	28.69529	26.75258	0.56391	-0.79531
177.24618	58.76592	143.45110	28.67958	26.83505	0.56539	-0.79552
177.74687	58.76408	143.45272	28.66387	26.91715	0.56685	-0.79592
178.24757	58.76223	143.45430	28.64820	26.99889	0.56830	-0.79652
178.74826	58.76037	143.45587	28.63260	27.08029	0.56972	-0.79731
179.24896	58.75851	143.45742	28.61710	27.16136	0.57113	-0.79829
179.74965	58.75665	143.45894	28.60173	27.24212	0.57251	-0.79945
180.25035	58.75479	143.46046	28.58654	27.32258	0.57387	-0.80078
180.75104	58.75293	143.46196	28.57153	27.40275	0.57520	-0.80227
181.25174	58.75107	143.46346	28.55676	27.48264	0.57652	-0.80393
181.75243	58.74921	143.46495	28.54226	27.56227	0.57780	-0.80573
182.25313	58.74735	143.46645	28.52804	27.64166	0.57906	-0.80767
182.75382	58.74550	143.46794	28.51416	27.72082	0.58030	-0.80975
183.25452	58.74366	143.46945	28.50064	27.79975	0.58151	-0.81195
183.75522	58.74182	143.47097	28.48750	27.87847	0.58269	-0.81428
184.25591	58.74000	143.47250	28.47477	27.95697	0.58384	-0.81672
184.75661	58.73818	143.47406	28.46246	28.03525	0.58497	-0.81928
185.25730	58.73637	143.47563	28.45060	28.11330	0.58607	-0.82195
185.75800	58.73458	143.47723	28.43919	28.19113	0.58715	-0.82474
186.25869	58.73280	143.47886	28.42824	28.26872	0.58820	-0.82763
186.75939	58.73104	143.48052	28.41774	28.34609	0.58922	-0.83062
187.26008	58.72930	143.48222	28.40771	28.42323	0.59022	-0.83372
187.76078	58.72757	143.48395	28.39812	28.50016	0.59119	-0.83691
188.26147	58.72587	143.48574	28.38897	28.57687	0.59213	-0.84020
188.76217	58.72419	143.48757	28.38024	28.65338	0.59305	-0.84357
189.26287	58.72254	143.48945	28.37191	28.72970	0.59394	-0.84702
189.76356	58.72092	143.49138	28.36394	28.80581	0.59481	-0.85056
190.26426	58.71932	143.49337	28.35632	28.88172	0.59565	-0.85418
190.76495	58.71775	143.49541	28.34899	28.95742	0.59646	-0.85788
191.26565	58.71620	143.49750	28.34192	29.03290	0.59725	-0.86166
191.76634	58.71469	143.49965	28.33506	29.10815	0.59801	-0.86552
192.26704	58.71320	143.50185	28.32837	29.18317	0.59875	-0.86945
192.76773	58.71175	143.50411	28.32180	29.25794	0.59946	-0.87346
193.26843	58.71032	143.50643	28.31530	29.33247	0.60015	-0.87755
193.76912	58.70893	143.50881	28.30883	29.40675	0.60081	-0.88171
194.26982	58.70758	143.51126	28.30234	29.48076	0.60145	-0.88596
194.77051	58.70626	143.51377	28.29578	29.55449	0.60206	-0.89028
195.27121	58.70497	143.51634	28.28913	29.62795	0.60265	-0.89469
195.77191	58.70372	143.51898	28.28232	29.70112	0.60321	-0.89917
196.27260	58.70251	143.52167	28.27532	29.77399	0.60375	-0.90374
196.77330	58.70133	143.52444	28.26808	29.84656	0.60426	-0.90838
197.27399	58.70020	143.52727	28.26056	29.91883	0.60475	-0.91311
197.77469	58.69910	143.53016	28.25274	29.99079	0.60521	-0.91791
198.27538	58.69804	143.53313	28.24458	30.06244	0.60565	-0.92280
198.77608	58.69702	143.53617	28.23605	30.13378	0.60606	-0.92776
199.27677	58.69605	143.53930	28.22713	30.20481	0.60645	-0.93280
199.77747	58.69512	143.54251	28.21780	30.27552	0.60681	-0.93793
200.27816	58.69424	143.54581	28.20804	30.34590	0.60714	-0.94314
200.77886	58.69340	143.54921	28.19785	30.41597	0.60745	-0.94844
201.27955	58.69261	143.55271	28.18722	30.48572	0.60772	-0.95382
201.78025	58.69187	143.55631	28.17614	30.55514	0.60798	-0.95929
202.28095	58.69118	143.56003	28.16461	30.62425	0.60820	-0.96483
202.78164	58.69055	143.56386	28.15263	30.69303	0.60839	-0.97046
203.28234	58.68998	143.56780	28.14020	30.76148	0.60856	-0.97617
203.78303	58.68945	143.57187	28.12733	30.82960	0.60869	-0.98195
204.28373	58.68899	143.57606	28.11403	30.89739	0.60880	-0.98782
204.78442	58.68858	143.58037	28.10030	30.96483	0.60887	-0.99376
205.28512	58.68822	143.58479	28.08615	31.03192	0.60892	-0.99978
205.78581	58.68791	143.58933	28.07160	31.09863	0.60893	-1.00589
206.28651	58.68766	143.59399	28.05665	31.16495	0.60891	-1.01209
206.78720	58.68746	143.59876	28.04132	31.23085	0.60886	-1.01838
207.28790	58.68731	143.60365	28.02562	31.29633	0.60878	-1.02478
207.78860	58.68721	143.60865	28.00957	31.36135	0.60867	-1.03128
208.28929	58.68716	143.61377	27.99317	31.42591	0.60852	-1.03789
208.78999	58.68715	143.61899	27.97643	31.48999	0.60834	-1.04461
209.29068	58.68720	143.62433	27.95936	31.55359	0.60813	-1.05143
209.79138	58.68729	143.62977	27.94196	31.61670	0.60789	-1.05834
210.29207	58.68743	143.63531	27.92425	31.67933	0.60762	-1.06535
210.79277	58.68760	143.64095	27.90623	31.74145	0.60731	-1.07245
211.29346	58.68782	143.64668	27.88792	31.80309	0.60696	-1.07963
211.79416	58.68808	143.65249	27.86932	31.86423	0.60658	-1.08689
212.29485	58.68838	143.65839	27.85045	31.92487	0.60617	-1.09422
212.79555	58.68872	143.66437	27.83134	31.98501	0.60571	-1.10163
213.29624	58.68910	143.67042	27.81200	32.04464	0.60522	-1.10912
213.79694	58.68951	143.67654	27.79246	32.10377	0.60469	-1.11668
214.29764	58.68995	143.68271	27.77275	32.16238	0.60412	-1.12433
214.79833	58.69043	143.68894	27.75289	32.22048	0.60350	-1.13206
215.29903	58.69093	143.69521	27.73292	32.27806	0.60285	-1.13988
215.79972	58.69147	143.70152	27.71284	32.33513	0.60215	-1.14778
216.30042	58.69202	143.70785	27.69270	32.39168	0.60141	-1.15576
216.80111	58.69260	143.71421	27.67252	32.44773	0.60062	-1.16382
217.30181	58.69320	143.72058	27.65233	32.50328	0.59979	-1.17196
217.80250	58.69382	143.72696	27.63216	32.55835	0.59892	-1.18016
218.30320	58.69445	143.73334	27.61203	32.61293	0.59799	-1.18842
218.80389	58.69509	143.73969	27.59198	32.66706	0.59702	-1.19672
219.30459	58.69574	143.74603	27.57202	32.72072	0.59599	-1.20506
219.80529	58.69639	143.75232	27.55218	32.77393	0.59492	-1.21343
220.30598	58.69704	143.75858	27.53248	32.82669	0.59380	-1.22182
220.80668	58.69769	143.76478	27.51292	32.87900	0.59262	-1.23022
221.30737	58.69832	143.77091	27.49352	32.93087	0.59139	-1.23862
221.80807	58.69895	143.77697	27.47429	32.98230	0.59011	-1.24703
222.30876	58.69956	143.78295	27.45523	33.03329	0.58878	-1.25542
222.80946	58.70015	143.78884	27.43634	33.08384	0.58740	-1.26378
223.31015	58.70072	143.79463	27.41763	33.13398	0.58596	-1.27211
223.81085	58.70126	143.80032	27.39910	33.18370	0.58447	-1.28038
224.31154	58.70178	143.80590	27.38076	33.23303	0.58293	-1.28858
224.81224	58.70227	143.81137	27.36259	33.28198	0.58133	-1.29671
225.31293	58.70273	143.81673	27.34460	33.33057	0.57969	-1.30473
225.81363	58.70316	143.82196	27.32679	33.37882	0.57799	-1.31265
226.31433	58.70356	143.82709	27.30917	33.42673	0.57623	-1.32044
226.81502	58.70392	143.83210	27.29173	33.47433	0.57443	-1.32809
227.31572	58.70426	143.83700	27.27448	33.52163	0.57257	-1.33559
227.81641	58.70456	143.84179	27.25742	33.56864	0.57065	-1.34293
228.31711	58.70484	143.84647	27.24055	33.61537	0.56869	-1.35010
228.81780	58.70509	143.85104	27.22386	33.66182	0.56667	-1.35707
229.31850	58.70531	143.85551	27.20736	33.70803	0.56460	-1.36385
229.81919	58.70549	143.85988	27.19105	33.75400	0.56248	-1.37041
230.31989	58.70571	143.86430	27.17492	33.79974	0.56030	-1.37674
230.82058	58.70583	143.86845	27.15897	33.84527	0.55808	-1.38283
231.32128	58.70592	143.87248	27.14321	33.89060	0.55581	-1.38867
231.82197	58.70597	143.87639	27.12763	33.93574	0.55349	-1.39425
232.32267	58.70598	143.88017	27.11222	33.98069	0.55113	-1.39955
232.82337	58.70596	143.88382	27.09696	34.02547	0.54872	-1.40457
233.32406	58.70591	143.88735	27.08186	34.07008	0.54627	-1.40929
233.82476	58.70581	143.89073	27.06689	34.11454	0.54378	-1.41371
234.32545	58.70568	143.89397	27.05204	34.15884	0.54124	-1.41781
234.82615	58.70551	143.89705	27.03730	34.20298	0.53867	-1.42160
235.32684	58.70529	143.89998	27.02265	34.24698	0.53607	-1.42507
235.82754	58.70503	143.90274	27.00808	34.29082	0.53343	-1.42821
236.32823	58.70472	143.90533	26.99355	34.33451	0.53076	-1.43101
236.82893	58.70437	143.90775	26.97904	34.37804	0.52806	-1.43347
237.32962	58.70396	143.90999	26.96454	34.42141	0.52533	-1.43558
237.83032	58.70351	143.91206	26.94999	34.46462	0.52258	-1.43734
238.33102	58.70302	143.91395	26.93538	34.50766	0.51980	-1.43876
238.83171	58.70247	143.91567	26.92067	34.55051	0.51700	-1.43982
239.33241	58.70188	143.91721	26.90583	34.59318	0.51418	-1.44053
239.83310	58.70125	143.91857	26.89083	34.63565	0.51134	-1.44088
240.33380	58.70057	143.91975	26.87562	34.67792	0.50847	-1.44087
240.83449	58.69984	143.92076	26.86019	34.71997	0.50559	-1.44051
241.33519	58.69907	143.92158	26.84448	34.76180	0.50270	-1.43979
241.83588	58.69825	143.92223	26.82849	34.80340	0.49978	-1.43872
242.33658	58.69739	143.92270	26.81217	34.84477	0.49685	-1.43729
242.83727	58.69648	143.92299	26.79551	34.88592	0.49390	-1.43550
243.33797	58.69553	143.92311	26.77849	34.92684	0.49094	-1.43335
243.83866	58.69453	143.92307	26.76108	34.96754	0.48796	-1.43083
244.33936	58.69350	143.92287	26.74328	35.00802	0.48496	-1.42794
244.84006	58.69244	143.92252	26.72510	35.04830	0.48196	-1.42466
245.34075	58.69133	143.92203	26.70653	35.08837	0.47894	-1.42100
245.84145	58.69020	143.92140	26.68757	35.12824	0.47591	-1.41694
246.34214	58.68904	143.92065	26.66822	35.16793	0.47287	-1.41247
246.84284	58.68785	143.91977	26.64848	35.20746	0.46982	-1.40760
247.34353	58.68663	143.91878	26.62834	35.24682	0.46676	-1.40232
247.84423	58.68539	143.91769	26.60783	35.28603	0.46370	-1.39663
248.34492	58.68414	143.91650	26.58694	35.32511	0.46063	-1.39053
248.84562	58.68287	143.91524	26.56568	35.36406	0.45756	-1.38401
249.34631	58.68159	143.91391	26.54408	35.40288	0.45449	-1.37708
249.84701	58.68030	143.91253	26.52216	35.44158	0.45141	-1.36975
250.34771	58.67900	143.91110	26.49993	35.48015	0.44834	-1.36202
250.84840	58.67770	143.90963	26.47744	35.51860	0.44526	-1.35391
251.34910	58.67640	143.90813	26.45471	35.55692	0.44219	-1.34542
251.84979	58.67509	143.90661	26.43176	35.59511	0.43912	-1.33656
252.35049	58.67379	143.90508	26.40865	35.63317	0.43605	-1.32734
252.85118	58.67249	143.90353	26.38539	35.67108	0.43298	-1.31778
253.35188	58.67120	143.90199	26.36203	35.70885	0.42992	-1.30788
253.85257	58.66991	143.90044	26.33859	35.74646	0.42686	-1.29766
254.35327	58.66862	143.89890	26.31512	35.78391	0.42380	-1.28714
254.85396	58.66735	143.89738	26.29163	35.82117	0.42075	-1.27631
255.35466	58.66608	143.89588	26.26818	35.85825	0.41771	-1.26520
255.85535	58.66483	143.89440	26.24479	35.89513	0.41467	-1.25382
256.35605	58.66359	143.89295	26.22149	35.93179	0.41163	-1.24217
256.85675	58.66235	143.89152	26.19832	35.96822	0.40860	-1.23027
257.35744	58.66113	143.89013	26.17531	36.00441	0.40558	-1.21813
257.85814	58.65993	143.88878	26.15249	36.04034	0.40257	-1.20576
258.35883	58.65873	143.88747	26.12989	36.07598	0.39956	-1.19317
258.85953	58.65755	143.88619	26.10752	36.11134	0.39656	-1.18037
259.36022	58.65639	143.88496	26.08540	36.14637	0.39356	-1.16738
259.86092	58.65524	143.88377	26.06355	36.18107	0.39057	-1.15420
260.36161	58.65410	143.88262	26.04200	36.21540	0.38759	-1.14084
260.86231	58.65298	143.88151	26.02077	36.24935	0.38461	-1.12731
261.36300	58.65187	143.88045	25.99987	36.28292	0.38164	-1.11362
261.86370	58.65078	143.87943	25.97933	36.31607	0.37867	-1.09977
262.36439	58.64972	143.87847	25.95917	36.34880	0.37571	-1.08577
262.86509	58.64867	143.87755	25.93942	36.38109	0.37275	-1.07163
263.36579	58.64765	143.87669	25.92008	36.41295	0.36980	-1.05734
263.86648	58.64665	143.87588	25.90118	36.44438	0.36686	-1.04290
264.36718	58.64566	143.87512	25.88274	36.47537	0.36392	-1.02832
264.86787	58.64471	143.87442	25.86479	36.50595	0.36098	-1.01358
265.36857	58.64377	143.87378	25.84737	36.53613	0.35806	-0.99870
265.86926	58.64286	143.87319	25.83049	36.56591	0.35514	-0.98366
